"","...1","Date","Competition","...4","VT","UB","BB","FX","AA","Full_Name","Nation","Birthdate","comp_year","Comp_Year","Age"
"13",13,"Aug 8-11","U.S. Worlds Trials","AA",15.35,13.85,14.55,14.8,58.55,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"14",14,"Aug 8-11","U.S. Championships","AA",15.3,14.75,14.7,15.1,59.85,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"15",15,"Aug 8-11","U.S. Championships","QF",15.3,14.05,14.95,14.35,58.65,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"16",16,"20-Jul","U.S. Classic","AA",15.65,14.45,14.9,15,60,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"17",17,"17-Mar","Stuttgart World Cup","AA",15.4,14.3,14.2,14.9,58.8,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"18",18,"Oct 25-Nov 3","World Championships","EF",15.366,14.7,13.6,14.933,NA,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"19",19,"Oct 25-Nov 3","World Championships","AA",14.533,14.725,13.233,15,57.491,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"20",20,"Oct 25-Nov 3","World Championships","TF",15.5,14.866,13.733,14.766,58.865,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"21",21,"Oct 25-Nov 3","World Championships","QF",15.966,14.866,14.8,15.333,60.965,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"22",22,"11-Oct","U.S. Worlds Trials","AA",16,14.75,13.85,15.1,59.7,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"23",23,"Aug 16-19","U.S. Championships","AA",15.6,14.55,14.9,14.7,59.75,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"24",24,"Aug 16-19","U.S. Championships","QF",15.6,14.85,15.2,14.45,60.1,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"25",25,"28-Jul","U.S. Classic","AA",15.4,13.35,15.2,14.75,58.7,"Simone Arianne Biles","United States",1997-03-14,2019,NA,26
"26",26,"Aug 5-21","Olympic Games","EF",15.966,NA,14.733,15.966,NA,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"27",27,"Aug 5-21","Olympic Games","AA",15.866,14.966,15.433,15.933,62.198,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"28",28,"Aug 5-21","Olympic Games","TF",15.933,14.8,15.3,15.8,61.833,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"29",29,"Aug 5-21","Olympic Games","QF",16,15,15.633,15.733,62.366,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"30",30,"Jul 8-10","U.S. Olympic Trials","AA",16.2,14.9,14.75,15.55,61.4,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"31",31,"Jul 8-10","U.S. Olympic Trials","QF",16,14.95,15.2,15.7,61.85,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"32",32,"Jun 23-26","U.S. Championships","AA",16.2,14.75,15.1,16.05,62.1,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"33",33,"Jun 23-26","U.S. Championships","QF",16,15.1,15.7,16.1,62.9,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"34",34,"4-Jun","Secret U.S. Classic","AA",NA,15.1,15.65,NA,NA,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"35",35,"Apr 8-10","Pacific Rim Championships","AA",15.8,15.05,15.55,16.05,62.45,"Simone Arianne Biles","United States",1997-03-14,2018,NA,26
"36",36,"Oct 23-Nov 1","World Championships","EF",15.541,NA,15.358,15.8,NA,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"37",37,"Oct 23-Nov 1","World Championships","AA",15.833,15.033,14.4,15.266,60.399,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"38",38,"Oct 23-Nov 1","World Championships","TF",15.966,NA,15.2,15.733,NA,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"39",39,"Oct 23-Nov 1","World Championships","QF",16,14.666,14.966,15.966,61.598,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"40",40,"Aug 13-16","U.S. Championships","AA",16.3,14.95,15.9,15.85,63,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"41",41,"Aug 13-16","U.S. Championships","QF",16.25,15.15,14.8,14.9,61.1,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"42",42,"25-Jul","Secret U.S. Classic","AA",16,15.1,15.25,16.05,62.4,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"43",43,"Mar 25-29","City of Jesolo Trophy","EF",15.525,NA,15.25,16.05,NA,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"44",44,"Mar 25-29","City of Jesolo Trophy","AA",15.95,15.05,15.15,15.95,62.1,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"45",45,"7-Mar","American Cup","AA",16.033,15.2,15.066,16,62.299,"Simone Arianne Biles","United States",1997-03-14,2016,NA,26
"46",46,"Oct 3-12","World Championships","EF",15.554,NA,15.1,15.333,NA,"Simone Arianne Biles","United States",1997-03-14,2015,NA,26
"47",47,"Oct 3-12","World Championships","AA",15.866,14.533,14.766,15.066,60.231,"Simone Arianne Biles","United States",1997-03-14,2015,NA,26
"48",48,"Oct 3-12","World Championships","TF",15.866,NA,14.966,15.375,NA,"Simone Arianne Biles","United States",1997-03-14,2015,NA,26
"49",49,"Oct 3-12","World Championships","QF",15.8,13.3,15.133,15.366,59.599,"Simone Arianne Biles","United States",1997-03-14,2015,NA,26
"50",50,"Aug 21-24","U.S. Championships","AA",15.9,14.75,14.6,15.5,60.75,"Simone Arianne Biles","United States",1997-03-14,2015,NA,26
"51",51,"Aug 21-24","U.S. Championships","QF",15.9,14.55,15.7,15.65,61.8,"Simone Arianne Biles","United States",1997-03-14,2015,NA,26
"52",52,"2-Aug","Secret U.S. Classic","AA",15.9,14.75,15.25,15.8,61.7,"Simone Arianne Biles","United States",1997-03-14,2015,NA,26
"53",53,"Sep 30-Oct 6","World Championships","EF",15.595,14.716,14.333,15,NA,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"54",54,"Sep 30-Oct 6","World Championships","AA",15.85,14.7,14.433,15.233,60.216,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"55",55,"Sep 30-Oct 6","World Championships","QF",15.9,14.8,14.4,15.033,60.133,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"56",56,"Aug 15-18","U.S. Championships","AA",15.8,14.2,15,14.95,59.95,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"57",57,"Aug 15-18","U.S. Championships","QF",15.8,14.75,14.9,15.05,60.5,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"58",58,"27-Jul","U.S. Classic","AA",NA,13.65,13.95,13.7,NA,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"59",59,"30-Mar","Chemnitz Friendly","AA",15.9,13.05,14.85,14.2,58,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"60",60,"Mar 23-24","City of Jesolo Trophy","EF",15.35,NA,15.1,14.85,NA,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"61",61,"Mar 23-24","City of Jesolo Trophy","AA",15.9,14.85,14.75,14.9,60.4,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"62",62,"2-Mar","American Cup","AA",15.733,14.8,13.133,14,57.666,"Simone Arianne Biles","United States",1997-03-14,2014,NA,26
"63",63,"May 3-5","American Classic","AA",15.9,13.6,13.55,13.4,56.45,"Simone Arianne Biles","United States",1997-03-14,2013,NA,26
"64",64,"Sep 26-28","Mediterranean Championships","AA",11.433,9.866,9.233,10.333,40.865,"Fatma Zohra Boukhatem","Algeria",2006-09-18,NA,2022,17
"65",65,"Jul 8-11","African Championships","EF",12.249,NA,NA,NA,NA,"Sihem Hamidi","Algeria",2003-09-16,NA,2023,20
"66",66,"Jul 8-11","African Championships","AA",12.333,8.866,10.666,9.866,41.731,"Sihem Hamidi","Algeria",2003-09-16,NA,2023,20
"67",67,"Jun 26-29","Mediterranean Games","QF",12,10.05,9.75,8.8,40.6,"Sihem Hamidi","Algeria",2003-09-16,NA,2023,20
"68",68,"Mar 2-5","Doha World Cup","EF",12.05,NA,NA,NA,NA,"Sihem Hamidi","Algeria",2003-09-16,NA,2023,20
"69",69,"Mar 2-5","Doha World Cup","QF",11.599,NA,NA,NA,NA,"Sihem Hamidi","Algeria",2003-09-16,NA,2023,20
"70",70,"Sep 19-23","Junior Mediterranean Championships","AA",13.05,9.633,7.067,8.933,38.683,"Sihem Hamidi","Algeria",2003-09-16,NA,2022,20
"71",71,"May 9-12","African Championships","EF",NA,8.167,NA,NA,NA,"Sihem Hamidi","Algeria",2003-09-16,NA,2022,20
"72",72,"May 9-12","African Championships","AA",10.45,9.25,9,9.3,38,"Sihem Hamidi","Algeria",2003-09-16,NA,2022,20
"73",73,"Mar 23-26","African Championships","EF",12.116,8.966,9.333,NA,NA,"Sihem Hamidi","Algeria",2003-09-16,NA,2018,20
"74",74,"Mar 23-26","African Championships","AA",12.2,9,9.9,8.6,39.7,"Sihem Hamidi","Algeria",2003-09-16,NA,2018,20
"75",75,"Oct 4-13","World Championships","QF",12.933,8.133,10.433,11.466,42.965,"Sofia Nair","Algeria",2003-10-12,NA,2022,20
"76",76,"Sep 14-15","Paris Challenge Cup","QF",NA,NA,11.95,10.8,NA,"Sofia Nair","Algeria",2003-10-12,NA,2022,20
"77",77,"Aug 26-29","African Games","EF",NA,NA,10.833,10.5,NA,"Sofia Nair","Algeria",2003-10-12,NA,2022,20
"78",78,"Aug 26-29","African Games","AA",NA,NA,11.6,11.85,NA,"Sofia Nair","Algeria",2003-10-12,NA,2022,20
"79",79,"Mar 8-10","International Gymnix","EF",12.1,NA,NA,NA,NA,"Sofia Nair","Algeria",2003-10-12,NA,2022,20
"80",80,"Mar 8-10","International Gymnix","AA",12.9,9.8,11.7,11.75,46.15,"Sofia Nair","Algeria",2003-10-12,NA,2022,20
"81",81,"Nov 16-18","Elite Gym Massilia","AA",11.2,9.8,10.967,10.767,42.733,"Sofia Nair","Algeria",2003-10-12,NA,2019,20
"82",82,"Oct 6-18","Youth Olympic Games","QF",12.866,NA,10.3,9.9,NA,"Sofia Nair","Algeria",2003-10-12,NA,2019,20
"83",83,"May 9-12","African Championships","EF",NA,NA,11.267,11.067,NA,"Sofia Nair","Algeria",2003-10-12,NA,2019,20
"84",84,"May 9-12","African Championships","AA",12.7,7.6,11.15,10.85,42.3,"Sofia Nair","Algeria",2003-10-12,NA,2019,20
"85",85,"Nov 17-19","Elite Gym Massilia","AA",12.05,7.733,5.833,9.567,35.183,"Sofia Nair","Algeria",2003-10-12,NA,2018,20
"86",86,"Jun 5-6","French Championships","EF",NA,14.25,NA,NA,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2023,17
"87",87,"Jun 5-6","French Championships","AA",NA,13,NA,NA,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2023,17
"88",88,"27-Mar","Top 12 Championships","AA",NA,14.5,13.4,13.4,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2023,17
"89",89,"12-Dec","Coupe d’Hiver","AA",13.6,13.9,14.3,13.7,55.5,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2021,17
"90",90,"Oct 30-31","French Test Meet","AA",13.466,13.65,13.25,13.8,54.166,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2021,17
"91",91,"Feb-29","Top 12 Series 3","AA",13.7,13.7,13.95,13.5,54.85,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2021,17
"92",92,"7-Dec","Top 12 Series 2","AA",NA,11.35,13.15,13.25,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"93",93,"Nov 22-24","Elite Gym Massilia","EF",NA,14.067,NA,13.233,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"94",94,"Nov 22-24","Elite Gym Massilia","AA",12.7,13.7,11.05,13.4,50.85,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"95",95,"1-Nov","Swiss Cup Juniors","AA",12.95,13.6,13.05,12.5,52.1,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"96",96,"Sep 26-28","Mediterranean Championships","EF",12.767,12.633,12.566,11.633,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"97",97,"Sep 26-28","Mediterranean Championships","AA",13.033,13.233,11.633,12.833,50.732,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"98",98,"Jun 8-9","French Championships","AA",13,11.55,11.55,11.5,47.6,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"99",99,"Mar 26-27","Top 12 Finals","AA",12.9,NA,12.55,11.2,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2020,17
"100",100,"May 19-20","French Championships","AA",12.95,10.7,10.65,11.4,45.7,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2019,17
"101",101,"17-Mar","Top 12 Final","AA",NA,11.3,NA,11.95,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2019,17
"102",102,"24-Feb","Top 12 Series 4","AA",NA,11.3,NA,NA,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2019,17
"103",103,"27-Jan","Top 12 Series 3","EF",NA,12.15,11.2,12.6,NA,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2019,17
"104",104,"16-Dec","Top 12 Series 2","AA",12.35,11.75,11.55,11.65,47.3,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2018,17
"105",105,"Nov 11-12","Tournoi International","AA",11.5,8.65,11,11.15,42.3,"Kaylia Nemour","Algeria (formerly France)",2006-12-30,NA,2018,17
"106",106,"Oct 29-Nov 6","World Championships","QF",12.033,10.466,10.233,10.733,43.465,"Lahna Salem","Algeria",1996-04-20,NA,2023,27
"107",107,"Jul 8-11","African Championships","EF",12.116,11.033,10.2,11.133,NA,"Lahna Salem","Algeria",1996-04-20,NA,2023,27
"108",108,"Jul 8-11","African Championships","AA",12.1,9.7,10.433,11.966,44.199,"Lahna Salem","Algeria",1996-04-20,NA,2023,27
"109",109,"Jun 26-29","Mediterranean Games","QF",12.5,11.25,9.25,10.3,43.3,"Lahna Salem","Algeria",1996-04-20,NA,2023,27
"110",110,"Mar 17-20","Cairo World Cup","QF",NA,11.033,NA,11.1,NA,"Lahna Salem","Algeria",1996-04-20,NA,2023,27
"111",111,"Mar 2-5","Doha World Cup","EF",NA,10.533,NA,NA,NA,"Lahna Salem","Algeria",1996-04-20,NA,2023,27
"112",112,"Mar 2-5","Doha World Cup","QF",NA,9.5,NA,NA,NA,"Lahna Salem","Algeria",1996-04-20,NA,2023,27
"113",113,"May 26-27","African Championships","AA",12.65,9.7,9.15,8.55,40.05,"Lahna Salem","Algeria",1996-04-20,NA,2022,27
"114",114,"Sep 14-15","Paris Challenge Cup","QF",11.975,11,NA,10.3,NA,"Lahna Salem","Algeria",1996-04-20,NA,2021,27
"115",115,"Aug 26-29","African Games","EF",11.883,10.166,NA,10.833,NA,"Lahna Salem","Algeria",1996-04-20,NA,2021,27
"116",116,"Aug 26-29","African Games","AA",12.75,9.65,10.2,11.3,43.9,"Lahna Salem","Algeria",1996-04-20,NA,2021,27
"117",117,"May 9-12","African Championships","AA",12.85,8.65,9.25,10.7,41.45,"Lahna Salem","Algeria",1996-04-20,NA,2019,27
"118",118,"Sep 4-19","All-Africa Games","AA",NA,7.267,NA,NA,NA,"Lahna Salem","Algeria",1996-04-20,NA,2018,27
"119",119,"Mar 25-27","Doha World Cup","QF",12.775,NA,7.6,NA,NA,"Lahna Salem","Algeria",1996-04-20,NA,2018,27
"120",120,"Sep 6-7","Bosphorus Tournament","EF",NA,NA,NA,10.6,NA,"Lahna Salem","Algeria",1996-04-20,NA,2015,27
"121",121,"Sep 6-7","Bosphorus Tournament","AA",13.4,8.6,8.95,10.5,41.45,"Lahna Salem","Algeria",1996-04-20,NA,2015,27
"122",122,"Apr 9-16","African Championships","EF",12.625,9.425,NA,10.65,NA,"Lahna Salem","Algeria",1996-04-20,NA,2014,27
"123",123,"Apr 9-16","African Championships","AA",12.4,9.15,7.6,11.85,41,"Lahna Salem","Algeria",1996-04-20,NA,2014,27
"124",124,"Sep 26-28","Mediterranean Championships","EF",NA,10.766,NA,NA,NA,"Rihab Sidra Sedhane","Algeria",2006-07-11,NA,2023,17
"125",125,"Sep 26-28","Mediterranean Championships","AA",12.333,11.133,9.933,9.733,43.132,"Rihab Sidra Sedhane","Algeria",2006-07-11,NA,2023,17
"126",126,"Jul 8-11","African Championships","AA",NA,10.033,NA,NA,NA,"Chama Temmami","Algeria",2000-08-05,NA,2023,23
"127",127,"May 26-27","African Championships","AA",11.8,9.2,7.5,10.75,39.25,"Chama Temmami","Algeria",2000-08-05,NA,2022,23
"128",128,"Aug 26-29","African Games","AA",12.1,9.65,10.95,8.65,41.35,"Chama Temmami","Algeria",2000-08-05,NA,2021,23
"129",129,"Oct 25-Nov 3","World Championships","QF",9.6,8.566,10.533,9.866,38.565,"Chama Temmami","Algeria",2000-08-05,NA,2019,23
"130",130,"Jun 22-Jul 1","Mediterranean Games","QF",10.4,9.45,10.25,NA,NA,"Chama Temmami","Algeria",2000-08-05,NA,2019,23
"131",131,"May 9-12","African Championships","EF",11.8,NA,9.6,11.567,NA,"Chama Temmami","Algeria",2000-08-05,NA,2019,23
"132",132,"May 9-12","African Championships","AA",12.8,9.8,8.15,11.3,42.05,"Chama Temmami","Algeria",2000-08-05,NA,2019,23
"133",133,"Mar 23-26","African Championships","AA",11.95,NA,8.95,NA,NA,"Chama Temmami","Algeria",2000-08-05,NA,2018,23
"134",134,"Sep 4-8","Mediterranean Junior Championships","EF",12.7,NA,NA,NA,NA,"Chama Temmami","Algeria",2000-08-05,NA,2016,23
"135",135,"Sep 4-8","Mediterranean Junior Championships","AA",13.8,8.6,9.4,9.1,40.9,"Chama Temmami","Algeria",2000-08-05,NA,2016,23
"136",136,"Nov 26-27","Top Gym Tournament","EF",NA,12.533,9.55,NA,NA,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2023,15
"137",137,"Nov 26-27","Top Gym Tournament","AA",12.55,12.7,12.533,11.4,49.183,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2023,15
"138",138,"Nov 18-20","1st Spanish League","AA",NA,12.767,12.1,10.8,NA,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2023,15
"139",139,"Jul 14-17","Pan American Championships","EF",12.65,12.3,10.567,12.833,NA,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2023,15
"140",140,"Jul 14-17","Pan American Championships","AA",13,11.867,13.4,12.667,50.934,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2023,15
"141",141,"Apr 28-May 1","South American Junior Games","EF",NA,12.367,13.7,12.367,NA,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2023,15
"142",142,"Apr 28-May 1","South American Junior Games","AA",13.133,11.2,11.833,12.367,48.533,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2023,15
"143",143,"Nov 11-15","South American Junior Championships","AA",12.967,11.167,11.733,12.767,48.634,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2022,15
"144",144,"Nov 30-Dec 1","Top Gym Tournament","EF",11.725,NA,11,11.65,NA,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2021,15
"145",145,"Nov 30-Dec 1","Top Gym Tournament","AA",11.95,11.3,10.6,11.6,45.45,"Isabella Ayelen Ajalla","Argentina",2008-03-05,NA,2021,15
"146",146,"Nov 17-19","Argentinian Championships","EF",NA,9.433,NA,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2023,18
"147",147,"Nov 17-19","Argentinian Championships","AA",NA,12.433,NA,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2023,18
"148",148,"Oct 29-Nov 6","World Championships","QF",NA,11.833,12.1,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2023,18
"149",149,"Oct 4-8","South American Games","EF",NA,12.6,12.467,12.333,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2023,18
"150",150,"Oct 4-8","South American Games","AA",12.6,13.067,11.667,13.033,50.367,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2023,18
"151",151,"Jul 14-17","Pan American Championships","TF",12.5,12.067,NA,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2023,18
"152",152,"Jul 14-17","Pan American Championships","AA",12.9,13.333,11.833,12.367,50.433,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2023,18
"153",153,"Dec 8-12","South American Championships","EF",12.983,13.267,NA,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2022,18
"154",154,"Dec 8-12","South American Championships","AA",13.5,13.2,NA,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2022,18
"155",155,"Jun 4-6","Pan American Championships","EF",NA,10.9,NA,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2022,18
"156",156,"Jun 4-6","Pan American Championships","AA",13.3,11.833,11.167,11.433,47.733,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2022,18
"157",157,"Oct 18-20","South American Junior Championships","EF",NA,10.967,12.1,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"158",158,"Oct 18-20","South American Junior Championships","AA",13.1,12.8,13.05,12.1,51.05,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"159",159,"Aug 20-24","Argentinian Championships","EF",NA,12.75,11.5,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"160",160,"Aug 20-24","Argentinian Championships","AA",12.95,10.8,12.4,11.8,47.95,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"161",161,"Jun 24-30","Junior World Championships","AA",13.266,12.133,10.9,10.2,46.499,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"162",162,"Jun 8-9","FIT Challenge","TF",NA,12.533,11.033,11.2,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"163",163,"Jun 8-9","FIT Challenge","AA",13.3,11.266,11.066,11.833,47.465,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"164",164,"May 21-25","Argentinian Club Championships","AA",12.767,10.167,12.133,11.133,46.2,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2021,18
"165",165,"17-Nov","Argentinian Championships","EF",NA,NA,12.567,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2019,18
"166",166,"17-Nov","Argentinian Championships","AA",12.667,11.467,11.567,11.133,46.833,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2019,18
"167",167,"Oct 17-21","South American Junior Championships","EF",NA,NA,11.6,NA,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2019,18
"168",168,"Oct 17-21","South American Junior Championships","AA",12.267,12.7,11.167,12.2,48.334,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2019,18
"169",169,"Jun 27-30","Argentinian Club Championships","AA",12.133,9.25,10.75,12.45,44.583,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2019,18
"170",170,"Jun 9-16","Junior Pan American Championships","EF",NA,NA,NA,12.3,NA,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2019,18
"171",171,"Jun 9-16","Junior Pan American Championships","AA",12.05,8.45,11.9,12.1,44.5,"Brisa Ailen Carraro","Argentina",2005-05-08,NA,2019,18
"172",172,"Nov 17-19","Argentinian Championships","AA",12.567,11.033,10.9,11.167,45.667,"Milagros Curti Ruiz","Argentina",2005-11-28,NA,2023,18
"173",173,"Aug 18-22","South American Championships","EF",NA,NA,NA,12.75,NA,"Milagros Curti Ruiz","Argentina",2005-11-28,NA,2023,18
"174",174,"Aug 18-22","South American Championships","AA",12.85,10.85,11.3,12.45,47.45,"Milagros Curti Ruiz","Argentina",2005-11-28,NA,2023,18
"175",175,"May 21-25","Argentinian Club Championships","AA",11.867,10.633,10.9,11.233,44.633,"Milagros Curti Ruiz","Argentina",2005-11-28,NA,2022,18
"176",176,"Jun 27-30","Argentinian Club Championships","AA",12.033,7.5,12.3,11.6,43.433,"Milagros Curti Ruiz","Argentina",2005-11-28,NA,2019,18
"177",177,"Oct 4-13","World Championships","QF",14.2,13.3,12.366,12.566,52.432,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
"178",178,"Aug 20-24","Argentinian Championships","EF",NA,13.05,12.45,NA,NA,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
"179",179,"Aug 20-24","Argentinian Championships","AA",NA,13.15,11.7,NA,NA,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
"180",180,"Jul 26-31","Pan American Games","EF",13.666,13.433,NA,13.233,NA,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
"181",181,"Jul 26-31","Pan American Games","AA",13.85,13.3,12.8,12.85,52.8,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
"182",182,"Jul 26-31","Pan American Games","QF",14.6,13.35,11.7,13.2,52.85,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
"183",183,"Jun 18-23","South American Championships","EF",14.017,NA,NA,12.167,NA,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
"184",184,"Jun 18-23","South American Championships","AA",14.33,11.367,11.1,13.167,49.964,"Martina Dominici","Argentina",2002-01-03,NA,2021,21
