Date,Competition,,VT,UB,BB,FX,AA,Full_Name,Nation,Birthdate,comp_year,Comp_Year
Oct 23-Nov 1,World Championships,AA,15.833,15.033,14.4,15.266,60.399,Simone Arianne Biles,United States,14-Mar-97,2016,
Oct 23-Nov 1,World Championships,TF,15.966,,15.2,15.733,,Simone Arianne Biles,United States,14-Mar-97,2016,
Oct 23-Nov 1,World Championships,QF,16,14.666,14.966,15.966,61.598,Simone Arianne Biles,United States,14-Mar-97,2016,
Aug 13-16,U.S. Championships,AA,16.3,14.95,15.9,15.85,63,Simone Arianne Biles,United States,14-Mar-97,2016,
Aug 13-16,U.S. Championships,QF,16.25,15.15,14.8,14.9,61.1,Simone Arianne Biles,United States,14-Mar-97,2016,
25-Jul,Secret U.S. Classic,AA,16,15.1,15.25,16.05,62.4,Simone Arianne Biles,United States,14-Mar-97,2016,
Mar 25-29,City of Jesolo Trophy,EF,15.525*,,15.25,16.05,,Simone Arianne Biles,United States,14-Mar-97,2016,
Mar 25-29,City of Jesolo Trophy,AA,15.95,15.05,15.15,15.95,62.1,Simone Arianne Biles,United States,14-Mar-97,2016,
7-Mar,American Cup,AA,16.033,15.2,15.066,16,62.299,Simone Arianne Biles,United States,14-Mar-97,2016,
Oct 3-12,World Championships,EF,15.554*,,15.1,15.333,,Simone Arianne Biles,United States,14-Mar-97,2015,
Oct 3-12,World Championships,AA,15.866,14.533,14.766,15.066,60.231,Simone Arianne Biles,United States,14-Mar-97,2015,
Oct 3-12,World Championships,TF,15.866,,14.966,15.375,,Simone Arianne Biles,United States,14-Mar-97,2015,
Oct 3-12,World Championships,QF,15.8,13.3,15.133,15.366,59.599,Simone Arianne Biles,United States,14-Mar-97,2015,
Aug 21-24,U.S. Championships,AA,15.9,14.75,14.6,15.5,60.75,Simone Arianne Biles,United States,14-Mar-97,2015,
Aug 21-24,U.S. Championships,QF,15.9,14.55,15.7,15.65,61.8,Simone Arianne Biles,United States,14-Mar-97,2015,
2-Aug,Secret U.S. Classic,AA,15.9,14.75,15.25,15.8,61.7,Simone Arianne Biles,United States,14-Mar-97,2015,
Sep 30-Oct 6,World Championships,EF,15.595*,14.716,14.333,15,,Simone Arianne Biles,United States,14-Mar-97,2014,
Sep 30-Oct 6,World Championships,AA,15.85,14.7,14.433,15.233,60.216,Simone Arianne Biles,United States,14-Mar-97,2014,
Sep 30-Oct 6,World Championships,QF,15.9,14.8,14.4,15.033,60.133,Simone Arianne Biles,United States,14-Mar-97,2014,
Aug 15-18,U.S. Championships,AA,15.8,14.2,15,14.95,59.95,Simone Arianne Biles,United States,14-Mar-97,2014,
Aug 15-18,U.S. Championships,QF,15.8,14.75,14.9,15.05,60.5,Simone Arianne Biles,United States,14-Mar-97,2014,
27-Jul,U.S. Classic,AA,,13.65,13.95,13.7,,Simone Arianne Biles,United States,14-Mar-97,2014,
30-Mar,Chemnitz Friendly,AA,15.9,13.05,14.85,14.2,58,Simone Arianne Biles,United States,14-Mar-97,2014,
Mar 23-24,City of Jesolo Trophy,EF,15.350*,,15.1,14.85,,Simone Arianne Biles,United States,14-Mar-97,2014,
Mar 23-24,City of Jesolo Trophy,AA,15.9,14.85,14.75,14.9,60.4,Simone Arianne Biles,United States,14-Mar-97,2014,
2-Mar,American Cup,AA,15.733,14.8,13.133,14,57.666,Simone Arianne Biles,United States,14-Mar-97,2014,
May 3-5,American Classic,AA,15.9,13.6,13.55,13.4,56.45,Simone Arianne Biles,United States,14-Mar-97,2013,
Sep 26-28,Mediterranean Championships,AA,11.433,9.866,9.233,10.333,40.865,Fatma Zohra Boukhatem,Algeria,18-Sep-06,,2022
Jul 8-11,African Championships,EF,12.249*,,,,,Sihem Hamidi,Algeria,16-Sep-03,,2023
Jul 8-11,African Championships,AA,12.333,8.866,10.666,9.866,41.731,Sihem Hamidi,Algeria,16-Sep-03,,2023
Jun 26-29,Mediterranean Games,QF,12,10.05,9.75,8.8,40.6,Sihem Hamidi,Algeria,16-Sep-03,,2023
Mar 2-5,Doha World Cup,EF,12.050*,,,,,Sihem Hamidi,Algeria,16-Sep-03,,2023
Mar 2-5,Doha World Cup,QF,11.599*,,,,,Sihem Hamidi,Algeria,16-Sep-03,,2023
Sep 19-23,Junior Mediterranean Championships,AA,13.05,9.633,7.067,8.933,38.683,Sihem Hamidi,Algeria,16-Sep-03,,2022
May 9-12,African Championships,EF,,8.167,,,,Sihem Hamidi,Algeria,16-Sep-03,,2022
May 9-12,African Championships,AA,10.45,9.25,9,9.3,38,Sihem Hamidi,Algeria,16-Sep-03,,2022
Mar 23-26,African Championships,EF,12.116*,8.966,9.333,,,Sihem Hamidi,Algeria,16-Sep-03,,2018
Mar 23-26,African Championships,AA,12.2,9,9.9,8.6,39.7,Sihem Hamidi,Algeria,16-Sep-03,,2018
Oct 4-13,World Championships,QF,12.933,8.133,10.433,11.466,42.965,Sofia Nair,Algeria,12-Oct-03,,2022
Sep 14-15,Paris Challenge Cup,QF,,,11.95,10.8,,Sofia Nair,Algeria,12-Oct-03,,2022
Aug 26-29,African Games,EF,,,10.833,10.5,,Sofia Nair,Algeria,12-Oct-03,,2022
Aug 26-29,African Games,AA,,,11.6,11.85,,Sofia Nair,Algeria,12-Oct-03,,2022
Mar 8-10,International Gymnix,EF,12.100*,,,,,Sofia Nair,Algeria,12-Oct-03,,2022
Mar 8-10,International Gymnix,AA,12.9,9.8,11.7,11.75,46.15,Sofia Nair,Algeria,12-Oct-03,,2022
Nov 16-18,Elite Gym Massilia,AA,11.2,9.8,10.967,10.767,42.733,Sofia Nair,Algeria,12-Oct-03,,2019
Oct 6-18,Youth Olympic Games,QF,12.866,,10.3,9.9,,Sofia Nair,Algeria,12-Oct-03,,2019
May 9-12,African Championships,EF,,,11.267,11.067,,Sofia Nair,Algeria,12-Oct-03,,2019
May 9-12,African Championships,AA,12.7,7.6,11.15,10.85,42.3,Sofia Nair,Algeria,12-Oct-03,,2019
Nov 17-19,Elite Gym Massilia,AA,12.05,7.733,5.833,9.567,35.183,Sofia Nair,Algeria,12-Oct-03,,2018
Jun 5-6,French Championships,EF,,14.25,,,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2023
Jun 5-6,French Championships,AA,,13,,,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2023
27-Mar,Top 12 Championships,AA,,14.5,13.4,13.4,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2023
12-Dec,Coupe d’Hiver,AA,13.6,13.9,14.3,13.7,55.5,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2021
Oct 30-31,French Test Meet,AA,13.466,13.65,13.25,13.8,54.166,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2021
Feb-29,Top 12 Series 3,AA,13.7,13.7,13.95,13.5,54.85,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2021
7-Dec,Top 12 Series 2,AA,,11.35,13.15,13.25,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
Nov 22-24,Elite Gym Massilia,EF,,14.067,,13.233,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
Nov 22-24,Elite Gym Massilia,AA,12.7,13.7,11.05,13.4,50.85,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
1-Nov,Swiss Cup Juniors,AA,12.95,13.6,13.05,12.5,52.1,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
Sep 26-28,Mediterranean Championships,EF,12.767*,12.633,12.566,11.633,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
Sep 26-28,Mediterranean Championships,AA,13.033,13.233,11.633,12.833,50.732,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
Jun 8-9,French Championships,AA,13,11.55,11.55,11.5,47.6,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
Mar 26-27,Top 12 Finals,AA,12.9,,12.55,11.2,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2020
May 19-20,French Championships,AA,12.95,10.7,10.65,11.4,45.7,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2019
17-Mar,Top 12 Final,AA,,11.3,,11.95,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2019
24-Feb,Top 12 Series 4,AA,,11.3,,,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2019
27-Jan,Top 12 Series 3,EF,,12.15,11.2,12.6,,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2019
16-Dec,Top 12 Series 2,AA,12.35,11.75,11.55,11.65,47.3,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2018
Nov 11-12,Tournoi International,AA,11.5,8.65,11,11.15,42.3,Kaylia Nemour,Algeria (formerly France),30-Dec-06,,2018
Oct 29-Nov 6,World Championships,QF,12.033,10.466,10.233,10.733,43.465,Lahna Salem,Algeria,20-Apr-96,,2023
Jul 8-11,African Championships,EF,12.116*,11.033,10.2,11.133,,Lahna Salem,Algeria,20-Apr-96,,2023
Jul 8-11,African Championships,AA,12.1,9.7,10.433,11.966,44.199,Lahna Salem,Algeria,20-Apr-96,,2023
Jun 26-29,Mediterranean Games,QF,12.5,11.25,9.25,10.3,43.3,Lahna Salem,Algeria,20-Apr-96,,2023
Mar 17-20,Cairo World Cup,QF,,11.033,,11.1,,Lahna Salem,Algeria,20-Apr-96,,2023
Mar 2-5,Doha World Cup,EF,,10.533,,,,Lahna Salem,Algeria,20-Apr-96,,2023
Mar 2-5,Doha World Cup,QF,,9.5,,,,Lahna Salem,Algeria,20-Apr-96,,2023
May 26-27,African Championships,AA,12.65,9.7,9.15,8.55,40.05,Lahna Salem,Algeria,20-Apr-96,,2022
Sep 14-15,Paris Challenge Cup,QF,11.975*,11,,10.3,,Lahna Salem,Algeria,20-Apr-96,,2021
Aug 26-29,African Games,EF,11.883*,10.166,,10.833,,Lahna Salem,Algeria,20-Apr-96,,2021
Aug 26-29,African Games,AA,12.75,9.65,10.2,11.3,43.9,Lahna Salem,Algeria,20-Apr-96,,2021
May 9-12,African Championships,AA,12.85,8.65,9.25,10.7,41.45,Lahna Salem,Algeria,20-Apr-96,,2019
Sep 4-19,All-Africa Games,AA,,7.267,,,,Lahna Salem,Algeria,20-Apr-96,,2018
Mar 25-27,Doha World Cup,QF,12.775*,,7.6,,,Lahna Salem,Algeria,20-Apr-96,,2018
Sep 6-7,Bosphorus Tournament,EF,,,,10.6,,Lahna Salem,Algeria,20-Apr-96,,2015
Sep 6-7,Bosphorus Tournament,AA,13.4,8.6,8.95,10.5,41.45,Lahna Salem,Algeria,20-Apr-96,,2015
Apr 9-16,African Championships,EF,12.625*,9.425,,10.65,,Lahna Salem,Algeria,20-Apr-96,,2014
Apr 9-16,African Championships,AA,12.4,9.15,7.6,11.85,41,Lahna Salem,Algeria,20-Apr-96,,2014
Sep 26-28,Mediterranean Championships,EF,,10.766,,,,Rihab Sidra Sedhane,Algeria,11-Jul-06,,2023
Sep 26-28,Mediterranean Championships,AA,12.333,11.133,9.933,9.733,43.132,Rihab Sidra Sedhane,Algeria,11-Jul-06,,2023
Jul 8-11,African Championships,AA,,10.033,,,,Chama Temmami,Algeria,5-Aug-00,,2023
May 26-27,African Championships,AA,11.8,9.2,7.5,10.75,39.25,Chama Temmami,Algeria,5-Aug-00,,2022
Aug 26-29,African Games,AA,12.1,9.65,10.95,8.65,41.35,Chama Temmami,Algeria,5-Aug-00,,2021
Oct 25-Nov 3,World Championships,QF,9.6,8.566,10.533,9.866,38.565,Chama Temmami,Algeria,5-Aug-00,,2019
Jun 22-Jul 1,Mediterranean Games,QF,10.4,9.45,10.25,,,Chama Temmami,Algeria,5-Aug-00,,2019
May 9-12,African Championships,EF,11.800*,,9.6,11.567,,Chama Temmami,Algeria,5-Aug-00,,2019
May 9-12,African Championships,AA,12.8,9.8,8.15,11.3,42.05,Chama Temmami,Algeria,5-Aug-00,,2019
Mar 23-26,African Championships,AA,11.95,,8.95,,,Chama Temmami,Algeria,5-Aug-00,,2018
Sep 4-8,Mediterranean Junior Championships,EF,12.700*,,,,,Chama Temmami,Algeria,5-Aug-00,,2016
Sep 4-8,Mediterranean Junior Championships,AA,13.8,8.6,9.4,9.1,40.9,Chama Temmami,Algeria,5-Aug-00,,2016
Nov 26-27,Top Gym Tournament,EF,,12.533,9.55,,,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2023
Nov 26-27,Top Gym Tournament,AA,12.55,12.7,12.533,11.4,49.183,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2023
Nov 18-20,1st Spanish League,AA,,12.767,12.1,10.8,,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2023
Jul 14-17,Pan American Championships,EF,12.650*,12.3,10.567,12.833,,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2023
Jul 14-17,Pan American Championships,AA,13,11.867,13.4,12.667,50.934,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2023
Apr 28-May 1,South American Junior Games,EF,,12.367,13.7,12.367,,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2023
Apr 28-May 1,South American Junior Games,AA,13.133,11.2,11.833,12.367,48.533,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2023
Nov 11-15,South American Junior Championships,AA,12.967,11.167,11.733,12.767,48.634,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2022
Nov 30-Dec 1,Top Gym Tournament,EF,11.725*,,11,11.65,,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2021
Nov 30-Dec 1,Top Gym Tournament,AA,11.95,11.3,10.6,11.6,45.45,Isabella Ayelen Ajalla,Argentina,5-Mar-08,,2021
Nov 17-19,Argentinian Championships,EF,,9.433,,,,Brisa Ailen Carraro,Argentina,8-May-05,,2023
Nov 17-19,Argentinian Championships,AA,,12.433,,,,Brisa Ailen Carraro,Argentina,8-May-05,,2023
Oct 29-Nov 6,World Championships,QF,,11.833,12.1,,,Brisa Ailen Carraro,Argentina,8-May-05,,2023
Oct 4-8,South American Games,EF,,12.6,12.467,12.333,,Brisa Ailen Carraro,Argentina,8-May-05,,2023
Oct 4-8,South American Games,AA,12.6,13.067,11.667,13.033,50.367,Brisa Ailen Carraro,Argentina,8-May-05,,2023
Jul 14-17,Pan American Championships,TF,12.5,12.067,,,,Brisa Ailen Carraro,Argentina,8-May-05,,2023
Jul 14-17,Pan American Championships,AA,12.9,13.333,11.833,12.367,50.433,Brisa Ailen Carraro,Argentina,8-May-05,,2023
Dec 8-12,South American Championships,EF,12.983*,13.267,,,,Brisa Ailen Carraro,Argentina,8-May-05,,2022
Dec 8-12,South American Championships,AA,13.5,13.2,,,,Brisa Ailen Carraro,Argentina,8-May-05,,2022
Jun 4-6,Pan American Championships,EF,,10.9,,,,Brisa Ailen Carraro,Argentina,8-May-05,,2022
Jun 4-6,Pan American Championships,AA,13.3,11.833,11.167,11.433,47.733,Brisa Ailen Carraro,Argentina,8-May-05,,2022
Oct 18-20,South American Junior Championships,EF,,10.967,12.1,,,Brisa Ailen Carraro,Argentina,8-May-05,,2021
Oct 18-20,South American Junior Championships,AA,13.1,12.8,13.05,12.1,51.05,Brisa Ailen Carraro,Argentina,8-May-05,,2021
Aug 20-24,Argentinian Championships,EF,,12.75,11.5,,,Brisa Ailen Carraro,Argentina,8-May-05,,2021
Aug 20-24,Argentinian Championships,AA,12.95,10.8,12.4,11.8,47.95,Brisa Ailen Carraro,Argentina,8-May-05,,2021
Jun 24-30,Junior World Championships,AA,13.266,12.133,10.9,10.2,46.499,Brisa Ailen Carraro,Argentina,8-May-05,,2021
Jun 8-9,FIT Challenge,TF,,12.533,11.033,11.2,,Brisa Ailen Carraro,Argentina,8-May-05,,2021
Jun 8-9,FIT Challenge,AA,13.3,11.266,11.066,11.833,47.465,Brisa Ailen Carraro,Argentina,8-May-05,,2021
May 21-25,Argentinian Club Championships,AA,12.767,10.167,12.133,11.133,46.2,Brisa Ailen Carraro,Argentina,8-May-05,,2021
17-Nov,Argentinian Championships,EF,,,12.567,,,Brisa Ailen Carraro,Argentina,8-May-05,,2019
17-Nov,Argentinian Championships,AA,12.667,11.467,11.567,11.133,46.833,Brisa Ailen Carraro,Argentina,8-May-05,,2019
Oct 17-21,South American Junior Championships,EF,,,11.6,,,Brisa Ailen Carraro,Argentina,8-May-05,,2019
Oct 17-21,South American Junior Championships,AA,12.267,12.7,11.167,12.2,48.334,Brisa Ailen Carraro,Argentina,8-May-05,,2019
Jun 27-30,Argentinian Club Championships,AA,12.133,9.25,10.75,12.45,44.583,Brisa Ailen Carraro,Argentina,8-May-05,,2019
Jun 9-16,Junior Pan American Championships,EF,,,,12.3,,Brisa Ailen Carraro,Argentina,8-May-05,,2019
Jun 9-16,Junior Pan American Championships,AA,12.05,8.45,11.9,12.1,44.5,Brisa Ailen Carraro,Argentina,8-May-05,,2019
Nov 17-19,Argentinian Championships,AA,12.567,11.033,10.9,11.167,45.667,Milagros Curti Ruiz,Argentina,28-Nov-05,,2023
Aug 18-22,South American Championships,EF,,,,12.75,,Milagros Curti Ruiz,Argentina,28-Nov-05,,2023
Aug 18-22,South American Championships,AA,12.85,10.85,11.3,12.45,47.45,Milagros Curti Ruiz,Argentina,28-Nov-05,,2023
May 21-25,Argentinian Club Championships,AA,11.867,10.633,10.9,11.233,44.633,Milagros Curti Ruiz,Argentina,28-Nov-05,,2022
Jun 27-30,Argentinian Club Championships,AA,12.033,7.5,12.3,11.6,43.433,Milagros Curti Ruiz,Argentina,28-Nov-05,,2019
Oct 4-13,World Championships,QF,14.2,13.3,12.366,12.566,52.432,Martina Dominici,Argentina,3-Jan-02,,2021
Aug 20-24,Argentinian Championships,EF,,13.05,12.45,,,Martina Dominici,Argentina,3-Jan-02,,2021
Aug 20-24,Argentinian Championships,AA,,13.15,11.7,,,Martina Dominici,Argentina,3-Jan-02,,2021
Jul 26-31,Pan American Games,EF,13.666*,13.433,,13.233,,Martina Dominici,Argentina,3-Jan-02,,2021
Jul 26-31,Pan American Games,AA,13.85,13.3,12.8,12.85,52.8,Martina Dominici,Argentina,3-Jan-02,,2021
Jul 26-31,Pan American Games,QF,14.6,13.35,11.7,13.2,52.85,Martina Dominici,Argentina,3-Jan-02,,2021
Jun 18-23,South American Championships,EF,14.017*,,,12.167,,Martina Dominici,Argentina,3-Jan-02,,2021
Jun 18-23,South American Championships,AA,14.33,11.367,11.1,13.167,49.964,Martina Dominici,Argentina,3-Jan-02,,2021
May 21-25,Argentinian Club Championships,AA,13.45,11.6,11.75,13,49.8,Martina Dominici,Argentina,3-Jan-02,,2021
17-Nov,Argentinian Championships,AA,13.433,,,,,Martina Dominici,Argentina,3-Jan-02,,2019
Oct 25-Nov 3,World Championships,QF,13.466,13.033,12.166,12.333,50.998,Martina Dominici,Argentina,3-Jan-02,,2019
Sep 14-16,Pan American Championships,TF,13.5,13.133,12.733,,,Martina Dominici,Argentina,3-Jan-02,,2019
Sep 14-16,Pan American Championships,AA,13.7,13.267,12.4,11.933,51.3,Martina Dominici,Argentina,3-Jan-02,,2019
May 25-30,Argentinian Club Championships,AA,13.733,10.8,12.3,12.8,49.633,Martina Dominici,Argentina,3-Jan-02,,2019
May 25-30,South American Games,EF,13.000*,13.3,12.675,12.775,,Martina Dominici,Argentina,3-Jan-02,,2019
May 25-30,South American Games,AA,14.033,13.3,12.667,13.1,53.1,Martina Dominici,Argentina,3-Jan-02,,2019
Apr 27-29,Pacific Rim Championships,EF,,12.6,12.5,12.55,,Martina Dominici,Argentina,3-Jan-02,,2019
Apr 27-29,Pacific Rim Championships,AA,13.6,12.2,12.35,12.9,51.05,Martina Dominici,Argentina,3-Jan-02,,2019
Mar 9-11,International Gymnix,EF,14.125*,,,,,Martina Dominici,Argentina,3-Jan-02,,2019
Mar 9-11,International Gymnix,AA,13.05,12.434,11.967,11.5,48.951,Martina Dominici,Argentina,3-Jan-02,,2019
Nov 25-26,Top Gym Tournament,EF,13.850*,12.8,12.15,,,Martina Dominici,Argentina,3-Jan-02,,2018
Nov 25-26,Top Gym Tournament,AA,14.066,12.8,12.35,13.3,52.516,Martina Dominici,Argentina,3-Jan-02,,2018
Sep 18-24,South American Junior Championships,EF,13.500*,13.167,12.9,12.867,,Martina Dominici,Argentina,3-Jan-02,,2018
Sep 18-24,South American Junior Championships,AA,13.65,13.3,12.3,12.6,51.85,Martina Dominici,Argentina,3-Jan-02,,2018
Jun 28-Jul 1,Argentinian Championships,AA,13.533,12.4,13.133,12.45,51.517,Martina Dominici,Argentina,3-Jan-02,,2018
Mar 10-12,International Gymnix,EF,13.025*,12,,,,Martina Dominici,Argentina,3-Jan-02,,2018
Mar 10-12,International Gymnix,AA,13.367,13,11.2,12.067,49.634,Martina Dominici,Argentina,3-Jan-02,,2018
Oct 24-31,South American Junior Championships,EF,13.667*,12.133,,13.433,,Martina Dominici,Argentina,3-Jan-02,,2017
Oct 24-31,South American Junior Championships,AA,14.2,13,11.7,13.4,52.3,Martina Dominici,Argentina,3-Jan-02,,2017
Sep 12-18,Pan American Championships,EF,14.025*,10.725,,13.125,,Martina Dominici,Argentina,3-Jan-02,,2017
Sep 12-18,Pan American Championships,AA,14,12,11.5,13.6,51.1,Martina Dominici,Argentina,3-Jan-02,,2017
Aug 22-25,South American Junior Championships,EF,12.725*,12.225,11.45,12.15,,Martina Dominici,Argentina,3-Jan-02,,2016
Aug 22-25,South American Junior Championships,AA,12.8,11.4,12.75,12.667,49.617,Martina Dominici,Argentina,3-Jan-02,,2016
Nov 17-19,Argentinian Championships,EF,12.900*,,,,,Lucila Estarli,Argentina,2-Nov-93,,2023
Nov 17-19,Argentinian Championships,AA,12.7,10.967,11.033,11.933,46.633,Lucila Estarli,Argentina,2-Nov-93,,2023
Aug 18-22,South American Championships,EF,12.688*,,,,,Lucila Estarli,Argentina,2-Nov-93,,2023
Aug 18-22,South American Championships,AA,12.4,,,11.6,,Lucila Estarli,Argentina,2-Nov-93,,2023
Aug 20-24,Argentinian Championships,EF,13.200*,,11.1,,,Lucila Estarli,Argentina,2-Nov-93,,2022
Aug 20-24,Argentinian Championships,AA,13.05,10.15,11.45,9.8,44.45,Lucila Estarli,Argentina,2-Nov-93,,2022
17-Nov,Argentinian Championships,EF,11.333*,,12.3,,,Lucila Estarli,Argentina,2-Nov-93,,2019
17-Nov,Argentinian Championships,AA,13.4,9.767,12.133,10.833,46.133,Lucila Estarli,Argentina,2-Nov-93,,2019
Jun 27-30,Argentinian Club Championships,AA,12.933,9.5,11,11.3,44.733,Lucila Estarli,Argentina,2-Nov-93,,2019
Oct 4-13,World Championships,QF,,,11.233,12.433,,Luna Fernandez,Argentina,23-Jun-03,,2021
Aug 20-24,Argentinian Championships,EF,,11.1,,,,Luna Fernandez,Argentina,23-Jun-03,,2021
Aug 20-24,Argentinian Championships,AA,13.4,12.55,12.3,12.55,50.8,Luna Fernandez,Argentina,23-Jun-03,,2021
Jul 26-31,Pan American Games,AA,13.35,12.75,12,12.35,50.45,Luna Fernandez,Argentina,23-Jun-03,,2021
Jul 26-31,Pan American Games,QF,11.65,12.3,11.75,11.8,47.5,Luna Fernandez,Argentina,23-Jun-03,,2021
